seasonality_group,model,mae,smape,mase24,mase168
medium,CB_Lags,153.00413403610395,29.063129999443156,2.949769073900257,2.6450776400970386
medium,CB_Lags_Calendar,154.88339884006942,29.669979405664947,3.0444546254474245,2.739543535322068
medium,CB_Lags_Fourier,144.63104222362102,27.46910745106099,2.807502306029383,2.5359562986098445
medium,CB_Lags_Seasonal,151.02168154152267,28.399653223082716,2.8850610295439245,2.575467305117429
medium,CB_Lags_Seasonal_Calendar,154.34887000970707,29.585573039708528,3.052480338822849,2.7381457097707855
medium,CB_Lags_Seasonal_Calendar_Fourier,142.48378902585804,26.84999787830741,2.7355390429727184,2.4735556812459354
medium,CB_Lags_Seasonal_Fourier,144.79593246082325,27.199203428940127,2.783721708072627,2.5082779190785267
strong,CB_Lags,529.3462778236695,30.848059229150948,4.612063108335025,3.06492085514716
strong,CB_Lags_Calendar,535.7714412672879,31.417972083333275,4.792370127008626,3.1767237785052878
strong,CB_Lags_Fourier,498.19551728197683,29.069110613381685,4.565853322571131,2.9248859963890115
strong,CB_Lags_Seasonal,502.8245373052476,29.985729621718907,4.401022917491803,3.0036270463062853
strong,CB_Lags_Seasonal_Calendar,500.5971442137442,30.992639822977974,5.000781148340034,3.0814787097482226
strong,CB_Lags_Seasonal_Calendar_Fourier,469.49713621063495,28.41220093129228,4.579105041035922,2.8400194762239868
strong,CB_Lags_Seasonal_Fourier,485.4941185193903,28.779162662495487,4.605241034131952,2.865369979019389
weak,CB_Lags,191.8619912827545,30.853067403977974,2.3133942032441377,2.0187398689706137
weak,CB_Lags_Calendar,195.6418917390901,31.307534672679974,2.4826282754892253,2.1741701638274686
weak,CB_Lags_Fourier,180.28874260166089,31.13039697431743,2.4914754552406415,2.1651444356530534
weak,CB_Lags_Seasonal,186.80438371357405,30.46385249890787,2.257561305984003,1.9744990262204187
weak,CB_Lags_Seasonal_Calendar,189.8461827149133,31.986251459176863,2.5723885828163,2.264466526178926
weak,CB_Lags_Seasonal_Calendar_Fourier,176.69241608122127,30.815853360916737,2.5230091870110622,2.189297712765374
weak,CB_Lags_Seasonal_Fourier,179.60760427185852,30.637934126852723,2.519694747763024,2.190101708889003
