model,mae,smape,mase24,mase168
SeasonalNaive_168,192.05406746031747,17.13371776098888,1.7263383091663578,1.5832997039371959
AutoETS_168,266.5854627298351,22.342965220947967,2.2012682588721386,1.9715722285496433
AutoETS_24,255.60127644621096,24.26652785198852,2.2531662540653015,2.119232351425364
SeasonalNaive_24,292.8237103174603,23.370962142171035,2.427085891647781,2.21160260386374
AutoTheta_168,388.52023450390095,35.471901875533135,3.4313093911666823,2.984647941591885
AutoTheta_24,387.80933496381215,36.13921775929154,3.473009414370684,3.020402607229839
Naive,562.1828373015873,45.79319819170746,4.92051168468213,4.426649526467773
