model,mae,smape,mase24,mase168
SeasonalNaive_168,192.05406746031747,17.13371776098888,1.7263383091663578,1.5832997039371959
AutoETS_168,266.5854627298351,22.342965220947967,2.2012682588721386,1.9715722285496433
AutoETS_24,255.60127644621096,24.26652785198852,2.2531662540653015,2.119232351425364
SeasonalNaive_24,292.8237103174603,23.370962142171035,2.427085891647781,2.21160260386374
CB_Lags_Seasonal_Calendar_Fourier,262.89111377257143,28.692684056838807,3.279217757006568,2.4952108123471515
CB_Lags_Seasonal,280.21686752011476,29.616411781236497,3.1812150843399105,2.509631195026718
CB_Lags_Seasonal_Fourier,269.965885084024,28.87210007276278,3.302885829989201,2.5154173247579488
CB_Lags_Fourier,274.37176736908623,29.222871679586703,3.2882770279470517,2.5355059087567655
CB_Lags,291.40413438084266,30.254752210857358,3.2917421284931403,2.5679634987991373
CB_Lags_Seasonal_Calendar,281.59739897945485,30.85482144062112,3.5418833566597274,2.6881413593933976
CB_Lags_Calendar,295.43224394881577,30.798495387226065,3.4398176759817582,2.688678402959173
AutoTheta_168,388.52023450390095,35.471901875533135,3.4313093911666823,2.984647941591885
AutoTheta_24,387.80933496381215,36.13921775929154,3.473009414370684,3.020402607229839
Naive,562.1828373015873,45.79319819170746,4.92051168468213,4.426649526467773
