seasonality_group,model,mae,smape,mase24,mase168
medium,AutoETS_168,117.26985879171798,19.146324222102812,2.0657539428370524,1.836149549850214
medium,AutoETS_24,131.60460852573914,21.374756042077983,2.28378155055512,2.0414509967633534
medium,AutoTheta_168,207.2754069203498,36.60972026726681,3.8332628274723497,3.2461626352302866
medium,AutoTheta_24,210.71249889891237,36.7460741661926,3.7871953644477196,3.207683032794055
medium,CB_Lags,153.00413403610395,29.063129999443156,2.949769073900257,2.6450776400970386
medium,CB_Lags_Calendar,154.88339884006942,29.669979405664947,3.0444546254474245,2.739543535322068
medium,CB_Lags_Fourier,144.63104222362102,27.46910745106099,2.807502306029383,2.5359562986098445
medium,CB_Lags_Seasonal,151.02168154152267,28.399653223082716,2.8850610295439245,2.575467305117429
medium,CB_Lags_Seasonal_Calendar,154.34887000970707,29.585573039708528,3.052480338822849,2.7381457097707855
medium,CB_Lags_Seasonal_Calendar_Fourier,142.48378902585804,26.84999787830741,2.7355390429727184,2.4735556812459354
medium,CB_Lags_Seasonal_Fourier,144.79593246082325,27.199203428940127,2.783721708072627,2.5082779190785267
medium,Naive,294.5863095238095,51.06904012436947,5.4971522955969245,4.7512821155599925
medium,SeasonalNaive_168,101.14613095238096,16.578885179564047,1.7835537128303656,1.5728765454256552
medium,SeasonalNaive_24,144.9247023809524,23.277750526548534,2.577266163995942,2.2620880567519706
strong,AutoETS_168,451.5021956025488,19.740705458349304,2.2992407896482705,2.2640499477742337
strong,AutoETS_24,444.9147619509846,23.760407824154175,2.670531382345108,2.6347522398254064
strong,AutoTheta_168,724.6705704212391,40.68193860546749,4.242417257455625,3.878025359922181
strong,AutoTheta_24,726.0142723064957,42.07484242300499,4.387962785480556,4.0276029969572775
strong,CB_Lags,529.3462778236695,30.848059229150948,4.612063108335025,3.06492085514716
strong,CB_Lags_Calendar,535.7714412672879,31.417972083333275,4.792370127008626,3.1767237785052878
strong,CB_Lags_Fourier,498.19551728197683,29.069110613381685,4.565853322571131,2.9248859963890115
strong,CB_Lags_Seasonal,502.8245373052476,29.985729621718907,4.401022917491803,3.0036270463062853
strong,CB_Lags_Seasonal_Calendar,500.5971442137442,30.992639822977974,5.000781148340034,3.0814787097482226
strong,CB_Lags_Seasonal_Calendar_Fourier,469.49713621063495,28.41220093129228,4.579105041035922,2.8400194762239868
strong,CB_Lags_Seasonal_Fourier,485.4941185193903,28.779162662495487,4.605241034131952,2.865369979019389
strong,Naive,1093.972619047619,49.411225078272075,6.304309593945407,6.032231627635038
strong,SeasonalNaive_168,332.60565476190476,16.437903556014145,1.9819249525328595,1.966392806983176
strong,SeasonalNaive_24,541.4720238095239,23.771307556336588,2.966613876337415,2.8652108737148096
weak,AutoETS_168,230.98433379523854,28.141865982391778,2.2388100441310925,1.8291410739857117
weak,AutoETS_24,190.28445886190914,27.664419689733393,1.8051858292956768,1.7072698121073344
weak,AutoTheta_168,233.6147261701141,29.12404675386511,2.218248088572071,1.8744247005397032
weak,AutoTheta_24,226.70123368602844,29.596736688677037,2.2438700931837747,1.8762818114245572
weak,CB_Lags,191.8619912827545,30.853067403977974,2.3133942032441377,2.0187398689706137
weak,CB_Lags_Calendar,195.6418917390901,31.307534672679974,2.4826282754892253,2.1741701638274686
weak,CB_Lags_Fourier,180.28874260166089,31.13039697431743,2.4914754552406415,2.1651444356530534
weak,CB_Lags_Seasonal,186.80438371357405,30.46385249890787,2.257561305984003,1.9744990262204187
weak,CB_Lags_Seasonal_Calendar,189.8461827149133,31.986251459176863,2.5723885828163,2.264466526178926
weak,CB_Lags_Seasonal_Calendar_Fourier,176.69241608122127,30.815853360916737,2.5230091870110622,2.189297712765374
weak,CB_Lags_Seasonal_Fourier,179.60760427185852,30.637934126852723,2.519694747763024,2.190101708889003
weak,Naive,297.98958333333337,36.899329372480835,2.960073164504057,2.5767139412666524
weak,SeasonalNaive_168,142.41041666666666,18.384364547388444,1.4135362621358483,1.2297844145550556
weak,SeasonalNaive_24,192.07440476190476,23.063828343627982,1.7373776346099863,1.5401892946169933
