series_id,seasonality_group,acf_24,acf_168,model,mae,smape,mase24,mase168
T1,weak,0.2603604341854829,0.2389831562018388,CB_Lags,21.558906618068146,100.10237466657782,8.514143930053876,7.757176680332932
T10,weak,0.4678522389189582,0.593316350740746,CB_Lags,46.26766304392058,19.602646358616955,0.6091592461515926,0.7024304270740793
T105,weak,0.8464365537953957,0.7053897503249026,CB_Lags,25.563081813273442,5.503019095760532,0.49502905694826954,0.3301943481182459
T107,weak,0.4299889786929711,0.5891127011376885,CB_Lags,181.20662124257402,119.09799928668811,1.4210829252663615,2.1147581358661993
T119,weak,0.5154993504469568,0.3464262877634856,CB_Lags,16.801168908319873,5.0504371174129945,1.532344144744892,1.0517448644210943
T13,medium,0.7277321550653817,0.8148932950356823,CB_Lags,33.36184152675512,17.704529871699464,1.0905460923431005,1.5167457966306699
T134,weak,0.321441505228498,0.6589016708603297,CB_Lags,1155.583050396269,13.944179493269598,1.4657102738140637,2.2604550904357814
T137,strong,0.9495923034697747,0.8679688372008987,CB_Lags,74.05487178462714,16.708760208364804,2.3536865511763425,1.730941186876174
T141,weak,0.8214682350637728,0.736499986911167,CB_Lags,78.36791216426249,16.851115425242785,1.8109238670039778,1.4441232654889273
T147,medium,0.9361679222719704,0.8033037039649814,CB_Lags,76.82799027732773,24.749030028597552,3.1457627262576944,2.1643336946066505
T149,weak,0.9385492804401464,0.7873591209950733,CB_Lags,323.41084670181056,23.939490801336213,4.021714391312803,2.4886355371900297
T155,medium,0.8835828684310176,0.8015037758991119,CB_Lags,309.57426963889486,22.165498139725823,2.326335318072749,2.152709263391762
T158,weak,0.8742418996122472,0.7458880492547493,CB_Lags,316.4077323875575,38.217576839286636,3.945095283768649,3.280694657226892
T159,weak,0.9132170063274015,0.678945569866513,CB_Lags,242.23115181761148,18.48473136346665,2.404111716626552,1.418225958252373
T161,medium,0.907634579289302,0.8113240769027645,CB_Lags,263.982419297746,27.74698657811501,4.006010537695291,3.2335947851884095
T169,weak,0.8839054478654493,0.6462549617190357,CB_Lags,341.142955971835,15.00138407000905,2.490140192143963,1.3776144332619893
T176,strong,0.9687351954688488,0.8697598590000116,CB_Lags,1009.3774071764396,16.699840333201617,2.9637990355365655,2.0457413306727603
T179,medium,0.9303069356003112,0.831261323429253,CB_Lags,322.22563034565053,17.76703807074554,2.3264376582018955,1.8619993085704707
T181,strong,0.9453936308084832,0.8566357529313985,CB_Lags,107.48155788073352,20.87929991627173,3.400785667970538,2.7676497410173972
T185,weak,0.9029572710648422,0.7702816341480473,CB_Lags,248.30895504502283,17.013117011229138,2.027826265977179,1.503379262531418
T188,strong,0.9513041490352084,0.889203451839983,CB_Lags,691.7208041513043,32.21188909516055,4.29105060498953,8.346337719278976
T2,medium,0.878412424233742,0.8221810414687533,CB_Lags,13.253953560225735,14.327871718654654,2.8249385289931164,2.781117994697077
T202,medium,0.9359612179134876,0.8398390893269334,CB_Lags,79.19154420175582,18.74793716491262,2.271084884104486,1.9113702385503324
T203,medium,0.9451407942964084,0.8451073681589166,CB_Lags,98.9618241345452,19.25662635722136,3.2753788867180744,2.566541077251593
T208,medium,0.929075753840274,0.8306179389430547,CB_Lags,58.9039255695079,21.370864068709913,3.1335724324865732,2.533738058108342
T212,strong,0.9112890737053164,0.865743368052379,CB_Lags,444.804091710119,44.84900572559923,3.8929445470490722,5.067555000248446
T23,medium,0.8417751625162441,0.8338249209442045,CB_Lags,29.189539710199035,24.794343190993946,2.2517838704483184,2.852579026147426
T231,medium,0.9437612290280986,0.8426023433135178,CB_Lags,423.9341283532518,24.91613096142643,4.727519362255375,3.8355312411719087
T232,medium,0.9256904587969932,0.8400246687975936,CB_Lags,210.53109565641412,20.28488071380876,3.0470961880055287,2.473152197344504
T233,strong,0.9500581204130952,0.8582726205847491,CB_Lags,72.46608525414197,15.906669290993829,3.1853224287534934,2.480134186785213
T234,strong,0.9510076674320506,0.8593623959308974,CB_Lags,930.96195059291,16.05197450704418,2.1303158991508226,1.715193206189644
T239,strong,0.9521989674453326,0.867365917429275,CB_Lags,48.89136685091766,14.509006119537233,2.736487855212925,2.37660115055096
T24,medium,0.8967167869745726,0.7996039989150817,CB_Lags,28.372985213827956,22.564722481375853,2.781446188284709,2.411168797717008
T244,medium,0.9191834947706632,0.8341323656221705,CB_Lags,102.76318816898666,26.80985343264547,3.0520988643599436,2.7298341417092495
T254,strong,0.940089787691856,0.8521770118324622,CB_Lags,129.86459293770028,24.73137759177491,3.593169930299312,2.8264349803774644
T255,strong,0.943355800184884,0.8662175850680338,CB_Lags,619.5044640289201,21.55698762404378,3.3551186267593467,2.924572174020248
T258,strong,0.9426995900239272,0.8796565604143595,CB_Lags,81.35058886151792,22.589080897738214,3.24991221972492,3.319772291400797
T260,strong,0.9478752356891732,0.8643564625608925,CB_Lags,85.09093238824971,16.238228803879775,2.5794548532595782,2.4028612061594306
T279,medium,0.9380707694625764,0.8203747866768005,CB_Lags,147.94456629958762,18.159161188126536,2.834661434798043,2.0009921360259812
T287,medium,0.9497634753991588,0.8248991782945114,CB_Lags,182.98964703547867,72.6961403101,6.680143253150686,4.933256516916097
T288,weak,0.8963486521527871,0.7016587810632768,CB_Lags,96.42793489765192,56.6359605313571,3.40520920980912,2.1787094385795593
T29,weak,0.8231845765817016,0.7801957188234393,CB_Lags,119.06115187746256,19.411975181370686,2.3063814234859326,2.707833470796269
T292,strong,0.9596223737925592,0.8574874148356404,CB_Lags,160.7532616559675,42.57661872998955,3.5328828025009624,2.2735568139673354
T298,medium,0.8516074680379161,0.8160660859874113,CB_Lags,276.6295933066991,42.424594090640575,1.7177838076335057,2.602750791350732
T3,strong,-0.0280387455014441,0.9166666666666666,CB_Lags,25.791049475211004,133.8592280250173,31.26948907767518,
T30,weak,0.6305439739959089,0.7482725294288795,CB_Lags,41.18604716733388,57.94281355606069,0.6228182767318193,0.8288068032758704
T301,weak,0.9020387485134604,0.79044367398827,CB_Lags,163.42562282495234,27.85913439844043,1.5079362845715818,1.262728447527572
T305,strong,0.9576792026993196,0.8819386253630186,CB_Lags,348.37425096659524,24.658049527564703,3.300460891294945,2.7964122272687577
T31,strong,0.9147451446236916,0.8563609164847927,CB_Lags,77.88416573906184,13.360258321856643,2.0657939622408352,2.2138299179528453
T316,strong,0.9440988304014432,0.8496856453535117,CB_Lags,2751.652951021665,29.659543699283923,2.144263424964042,1.543306085291567
T319,weak,0.5797718564717881,0.7852070579108402,CB_Lags,267.4935856075962,12.751773207014,0.9431625404549215,1.685154055841925
T43,weak,0.8467757910973003,0.7724223936810942,CB_Lags,43.872751407356546,17.27210044104924,1.7812351378496298,1.703831976479876
T50,medium,0.8896801006360665,0.8084939955435738,CB_Lags,82.20534627431276,17.016723118909574,2.411395561324601,2.4341528587554877
T55,strong,0.8934949848854928,0.8546739010739226,CB_Lags,35.862601219747006,32.288495838932356,3.182390486000358,3.919919977174689
T56,strong,0.8209875465549393,0.8602835897788401,CB_Lags,1542.2409064009382,37.0585284614494,2.362536997927239,3.9387355894141964
T70,weak,0.8748606464904651,0.7739556434856019,CB_Lags,33.808921547746586,16.73062673966453,2.4514913993561156,2.3029446008195977
T86,medium,0.6579005729932522,0.8102944033920301,CB_Lags,59.2025970781007,82.28762346749573,2.3541585663155327,4.059606656784048
T94,strong,0.9673537119322448,0.8689911195998664,CB_Lags,1348.797656376623,40.56834186531525,6.651396304214507,3.543941463149139
T96,medium,0.9417588600652192,0.8191403432239324,CB_Lags,260.0365950728119,45.47204503495832,2.7372273165559147,1.8463782210230204
T98,weak,0.9085118826121996,0.7627903062655954,CB_Lags,75.11376421446522,15.64889249570629,2.5123684988114503,1.975355925891644
T1,weak,0.2603604341854829,0.2389831562018388,CB_Lags_Seasonal,19.648611349416363,94.95964506219293,7.759721214916216,7.069827448154486
T10,weak,0.4678522389189582,0.593316350740746,CB_Lags_Seasonal,47.74705167483791,20.30583008568751,0.6286368511112244,0.7248903379374689
T105,weak,0.8464365537953957,0.7053897503249026,CB_Lags_Seasonal,26.301397438842937,5.636629666578861,0.5093265383914523,0.33973105611265714
T107,weak,0.4299889786929711,0.5891127011376885,CB_Lags_Seasonal,174.13444376982875,115.21814759711734,1.365620544355247,2.0322228248150824
T119,weak,0.5154993504469568,0.3464262877634856,CB_Lags_Seasonal,17.651860794572634,5.283098836176428,1.6099311708616222,1.1049977557796222
